question_id,L_qtok,L_lines,L_kw,L_ids,S_nest,S_cf,T_class,T_type,O_var,O_sim,H_N,H_D,H_W,H_amb,H_B,H_M,H_P,H_Dmax,H_Dmean,d_ptr,d_ref,d_arrow,d_scope,d_incr,d_assign,oop_nclass,oop_dinherit,oop_rcount,mem_stack,mem_heap,mem_static,mem_global,spc_compile,spc_runtime,spc_another
64,10,15,0.3125,4,1,0.0,0,1,0.0,0.6666666666666666,10.0,3.0,11.567,0.0355,3.0,1.0,1.0,5.0,3.333,0.0,0.0,0.0,0.0,0.0,0.15625,0,0,0,1,0,0,1,0,0,0
65,10,8,0.35714285714285715,2,1,0.0,0,3,34.56,0.0,4.667,2.0,5.9,0.0288,2.0,2.0,1.8,4.0,2.444,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.14285714285714285,0,0,0,1,0,0,0,1,1,0
66,10,9,0.23809523809523808,4,1,0.0,0,1,32.22222222222222,0.5,6.0,3.333,6.633,0.0662,4.0,2.0,1.1,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0,0,0,1,0,0,0,1,1,1
67,10,8,0.3125,2,1,0.0,0,1,18.24,0.6527777777777778,6.0,3.0,6.733,0.0273,3.0,2.0,1.6,4.0,3.0,0.0,0.0,0.0,0.0,0.0625,0.125,0,0,0,1,0,0,0,0,0,1
68,10,11,0.2608695652173913,2,1,0.0,0,1,12.0,0.6666666666666666,11.0,4.0,13.467,0.7386,4.0,2.0,1.6,5.0,3.0,0.0,0.0,0.0,0.0,0.17391304347826086,0.17391304347826086,0,0,0,1,0,0,0,0,0,1
69,10,7,0.3333333333333333,2,1,0.0,0,1,36.64,0.0,6.333,4.0,7.367,0.1675,4.0,2.0,1.4,5.0,2.875,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0,0,0,1,0,0,0,1,1,1
70,10,7,0.3333333333333333,2,1,0.0,0,1,36.64,0.0,5.0,2.0,5.467,0.1279,2.0,2.0,1.1,5.0,3.667,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0,0,0,1,0,0,0,1,1,1
71,10,9,0.42857142857142855,4,1,0.0,0,1,54.1875,0.5833333333333334,4.667,2.333,5.467,0.0181,3.0,2.0,1.1,4.0,2.625,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0,0,0,1,0,0,0,0,0,0
72,10,11,0.4117647058823529,2,2,2.5,0,1,20.8,0.7150793650793651,13.0,2.0,13.333,0.0106,3.0,2.0,1.5,4.0,2.556,0.0,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0,0,0,1,0,0,0,0,0,1
73,10,8,0.5,1,1,1.5,0,1,93.36,0.0,5.0,2.0,5.3,0.2654,2.0,1.0,0.6,5.0,3.286,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0,0,0,1,0,0,0,1,1,1
